,index,categorical
0,X1,1
1,X2,1
2,X3,1
3,X4,1
4,X5,1
5,X6,1
6,X7,1
7,X8,1
8,X9,1
9,X10,1
10,X11,1
11,X12,1
12,X13,1
13,X14,1
14,X15,1
15,X16,1
16,X17,1
17,X18,1
18,X19,1
19,X20,1
20,X21,1
21,X22,1
22,X23,1
23,X24,1
24,X25,1
25,X26,1
26,X27,1
27,X28,1
28,X29,1
29,X30,1
30,X31,1
31,X32,1
32,X33,1
33,X34,1
34,X35,1
35,X36,1
36,X37,1
37,X38,1
38,X39,1
39,X40,1
40,X41,1
41,X42,1
42,X43,1
43,X44,1
44,X45,1
45,X46,1
46,X47,1
47,X48,1
48,X49,1
49,X50,1
50,X51,1
51,X52,1
52,X53,1
53,X54,1
54,X55,1
55,X56,1
56,X57,1
57,X58,1
58,X59,1
59,X60,1
60,X61,1
61,X62,1
62,X63,1
63,X64,1
64,X65,1
65,X66,1
66,X67,1
67,X68,1
68,X69,1
69,X70,1
70,X71,1
71,X72,1
72,X73,1
73,X74,1
74,X75,1
75,X76,1
76,X77,1
77,X78,1
78,X79,1
79,X80,1
80,X81,1
81,X82,1
82,X83,1
83,X84,1
84,X85,1
85,X86,1
86,X87,1
87,X88,1
88,X89,1
89,X90,1
90,X91,1
91,X92,1
92,X93,1
93,X94,1
94,X95,1
95,X96,1
96,X97,1
97,X98,1
98,X99,1
99,X100,1
100,X101,1
101,X102,1
102,X103,1
103,X104,1
104,X105,1
105,X106,1
106,X107,1
107,X108,1
108,X109,1
109,X110,1
110,X111,1
111,X112,1
112,X113,1
113,X114,1
114,X115,1
115,X116,1
116,X117,1
117,X118,1
118,X119,1
119,X120,1
120,X121,1
121,X122,1
122,X123,1
123,X124,1
124,X125,1
125,X126,1
126,X127,1
127,X128,1
128,X129,1
129,X130,1
130,X131,1
131,X132,1
132,X133,1
133,X134,1
134,X135,1
135,X136,1
136,X137,1
137,fila,0
138,filb,0
139,ycont,0
140,ybin,1
